id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr,chla.nrr,chla.nrr_1,gpp.nrr_1,site_date
1,A1,NPSi,1,1,1,sponge,-17.46980137,8.933346071,NA,3.02990961852016,NA,NA,NA,NA,wenas_summer
2,A2,NPSi,1,1,1,sponge,-16.78242387,5.442217195,NA,2.91069293971001,NA,NA,NA,NA,wenas_summer
3,A3,NSi,1,0,1,sponge,-3.497632471,0,NA,0.6066188184675,NA,NA,NA,NA,wenas_summer
7,A7,C,0,0,0,sponge,-6.17474103,1.91283168,NA,1.07092844631857,NA,NA,NA,NA,wenas_summer
8,A8,NSi,1,0,1,sponge,-8.506416226,0,NA,1.4753271543518,NA,NA,NA,NA,wenas_summer
10,B2,C,0,0,0,sponge,-2.072719851,0.917718403,NA,0.35948627463087,NA,NA,NA,NA,wenas_summer
11,B3,P,0,1,0,sponge,-4.102140855,1.918905758,NA,0.711462927931904,NA,NA,NA,NA,wenas_summer
14,B6,N,1,0,0,sponge,-17.48768365,2.6254542,NA,3.03301106718723,NA,NA,NA,NA,wenas_summer
19,C3,Si,0,0,1,sponge,-3.238557449,0.82314056,NA,0.561685628647488,NA,NA,NA,NA,wenas_summer
20,C4,NPSi,1,1,1,sponge,-14.63785841,7.958288033,NA,2.53874597951397,NA,NA,NA,NA,wenas_summer
25,D1,PSi,0,1,1,sponge,-6.487623941,1.99172865,NA,1.12519391399225,NA,NA,NA,NA,wenas_summer
26,D2,C,0,0,0,sponge,-4.095311496,1.726108783,NA,0.710278464520777,NA,NA,NA,NA,wenas_summer
28,D4,NPSi,1,1,1,sponge,-11.46053577,1.397928114,NA,1.98768073130744,NA,NA,NA,NA,wenas_summer
29,D5,N,1,0,0,sponge,-15.86636116,0,NA,2.7518137883441,NA,NA,NA,NA,wenas_summer
31,D7,Si,0,0,1,sponge,0,0.39288544,NA,0,NA,NA,NA,NA,wenas_summer
35,E3,Si,0,0,1,sponge,0,1.705338706,NA,0,NA,NA,NA,NA,wenas_summer
39,E7,NP,1,1,0,sponge,-11.1115595,5.482183751,NA,1.92715534039349,NA,NA,NA,NA,wenas_summer
40,E8,PSi,0,1,1,sponge,-10.30769986,1.14493939,NA,1.78773635081306,NA,NA,NA,NA,wenas_summer
41,F1,Si,0,0,1,sponge,-0.968312412,0,NA,0.167941181969561,NA,NA,NA,NA,wenas_summer
42,F2,PSi,0,1,1,sponge,-9.054769317,3.27939329,NA,1.57043185929821,NA,NA,NA,NA,wenas_summer
43,F3,NP,1,1,0,sponge,-17.93705862,0,NA,3.11094930558434,NA,NA,NA,NA,wenas_summer
46,F6,Si,0,0,1,sponge,-5.749213662,0.029950085,NA,0.997126264030401,NA,NA,NA,NA,wenas_summer
47,F7,NP,1,1,0,sponge,-12.40439905,0,NA,2.15138152962052,NA,NA,NA,NA,wenas_summer
48,F8,C,0,0,0,sponge,-9.627732297,2.696490931,NA,1.66980482910994,NA,NA,NA,NA,wenas_summer
49,G1,P,0,1,0,sponge,-7.115509999,3.817611381,NA,1.23409257667172,NA,NA,NA,NA,wenas_summer
50,G2,P,0,1,0,sponge,-5.75082053,2.170589807,NA,0.997404954366129,NA,NA,NA,NA,wenas_summer
54,G6,N,1,0,0,sponge,-23.37407291,5.077949159,NA,4.05392865288201,NA,NA,NA,NA,wenas_summer
58,H2,N,1,0,0,sponge,-12.30775745,0,NA,2.13462030222088,NA,NA,NA,NA,wenas_summer
59,H3,NP,1,1,0,sponge,NA,NA,NA,NA,NA,NA,NA,NA,wenas_summer
61,H5,NSi,1,0,1,sponge,-3.136906485,0.873483827,NA,0.544055592276019,NA,NA,NA,NA,wenas_summer
64,H8,P,0,1,0,sponge,-4.9090516,0.705371582,NA,0.851411091954033,NA,NA,NA,NA,wenas_summer
65,I1,C,0,0,0,sponge,-6.858411226,2.219848559,NA,1.18950214151313,NA,NA,NA,NA,wenas_summer
67,I3,P,0,1,0,sponge,-7.311189664,2.735064754,NA,1.26803066712708,NA,NA,NA,NA,wenas_summer
70,I6,PSi,0,1,1,sponge,-9.315290946,4.007549424,NA,1.61561594426984,NA,NA,NA,NA,wenas_summer
72,I8,NP,1,1,0,sponge,NA,NA,NA,NA,NA,NA,NA,NA,wenas_summer
73,J1,NSi,1,0,1,sponge,0,0.901061477,NA,0,NA,NA,NA,NA,wenas_summer
74,J2,PSi,0,1,1,sponge,-10.36539314,3.340112312,NA,1.79774249915406,NA,NA,NA,NA,wenas_summer
76,J4,NPSi,1,1,1,sponge,-26.3238782,4.91814132,NA,4.56553397864609,NA,NA,NA,NA,wenas_summer
78,J6,NSi,1,0,1,sponge,0,1.325890764,NA,0,NA,NA,NA,NA,wenas_summer
79,J7,N,1,0,0,sponge,-16.7522597,0,NA,2.90546135711316,NA,NA,NA,NA,wenas_summer
4,A4,Si,0,0,1,glass,-3.206718263,1.323232335,0.231572583,NA,1.93898633730885,1.25600344454709,24.9123910572431,4.58549717745149,wenas_summer
5,A5,NPSi,1,1,1,glass,-4.882200917,10.66362212,1.003802821,NA,15.6258406403774,5.44442603907946,107.988295061319,36.9534569548358,wenas_summer
6,A6,P,0,1,0,glass,-3.679290293,2.08858782,0.021363736,NA,3.06049296116217,0.11587263767056,2.29829342826695,7.23774147604212,wenas_summer
9,B1,NP,1,1,0,glass,-7.038324436,3.032311507,0.498761208,NA,4.44336979003571,2.70518118828631,53.6563270872138,10.5080986072655,wenas_summer
12,B4,N,1,0,0,glass,-5.527494079,2.332370826,1.283248607,NA,3.41771814785025,6.96008417629586,138.050846551409,8.08254118079211,wenas_summer
13,B5,Si,0,0,1,glass,-2.115899021,0.036355643,0.233772644,NA,0.0532734072441467,1.26793613605321,25.1490718390168,0.125985961763045,wenas_summer
15,B7,P,0,1,0,glass,-2.202257362,0.918726708,0.01710924,NA,1.34624773549895,0.0927971010004362,1.84059819193806,3.18373320765571,wenas_summer
16,B8,Si,0,0,1,glass,-1.209136444,0,0.165761197,NA,0,0.899055629587416,17.8324554154181,0,wenas_summer
17,C1,PSi,0,1,1,glass,-4.879365921,1.808363492,0.020662495,NA,2.64986881829496,0.112069246526205,2.22285448903219,6.2666588996046,wenas_summer
18,C2,N,1,0,0,glass,-3.799886663,12.68046573,0.326441796,NA,18.5812038829773,1.77055511023142,35.1183442099481,43.942577789021,wenas_summer
21,C5,NSi,1,0,1,glass,-2.374974043,0.926548603,0.531479828,NA,1.3577094774287,2.88264044917311,57.1761697461927,3.21083901250654,wenas_summer
22,C6,P,0,1,0,glass,-3.400919941,1.597057318,0,NA,2.34023325881098,0,0,5.53440361923838,wenas_summer
23,C7,NSi,1,0,1,glass,-2.331794872,0,0.224477275,NA,0,1.21751991090649,24.1490835651486,0,wenas_summer
24,C8,C,0,0,0,glass,-4.960852765,2.940334778,0.125709788,NA,4.30859253575908,0.68182478554158,13.5237572505685,10.1893646857424,wenas_summer
27,D3,PSi,0,1,1,glass,-4.001168026,0.512715766,0.005194859,NA,0.751303334192512,0.0281758777891961,0.558858726791672,1.77675275584002,wenas_summer
30,D6,C,0,0,0,glass,-1.708340526,0.15202942,0.001986624,NA,0.222774912955093,0.0107750518420392,0.213719402057646,0.526839057556425,wenas_summer
32,D8,NSi,1,0,1,glass,0,0.051502898,0.406611825,NA,0.0754692981061496,2.20538133736488,43.7429710446305,0.178476891142153,wenas_summer
33,E1,N,1,0,0,glass,-3.521325656,0,2.168925352,NA,0,11.7638179692348,233.331233961287,0,wenas_summer
34,E2,N,1,0,0,glass,0,0,1.500581886,NA,0,8.13885647957285,161.431384808829,0,wenas_summer
36,E4,NP,1,1,0,glass,-1.319087528,0.309599933,0.476240831,NA,0.453669415597175,2.58303516081595,51.2336031562874,1.07288008413932,wenas_summer
37,E5,P,0,1,0,glass,-3.511431999,1.41544097,0.013363312,NA,2.07410341291062,0.0724799355999648,1.43761428944267,4.90503474039138,wenas_summer
38,E6,PSi,0,1,1,glass,-4.917230731,1.599822761,0.014483506,NA,2.34428557528767,0.0785556441503202,1.5581238533403,5.54398691820674,wenas_summer
44,F4,C,0,0,0,glass,-1.165509822,0.472694206,0.024533885,NA,0.692658109174045,0.13306689275959,2.63933549194565,1.63806301439171,wenas_summer
45,F5,N,1,0,0,glass,-5.881435889,0.334016686,4.309222712,NA,0.489448280136822,23.3723634269458,463.58269171311,1.15749330662684,wenas_summer
51,G3,P,0,1,0,glass,-4.559213627,1.774257514,0.002058316,NA,2.59989193697686,0.011163894932961,0.221431969394151,6.14846887226279,wenas_summer
52,G4,Si,0,0,1,glass,-3.677732119,0.692942155,0.208044032,NA,1.01539641645044,1.1283892826357,22.3812085833563,2.40130490454623,wenas_summer
53,G5,NPSi,1,1,1,glass,-6.843795597,10.49391694,0.789449258,NA,15.3771647150037,4.28181512032945,84.9283122395642,36.3653647481192,wenas_summer
55,G7,NSi,1,0,1,glass,-4.999954381,1.242438963,0.555046465,NA,1.82059651240096,3.01046118194263,59.7114494811348,4.30551778950615,wenas_summer
56,G8,C,0,0,0,glass,-0.611599697,0,0.943343722,NA,0,5.1165079599422,101.484154123112,0,wenas_summer
57,H1,NP,1,1,0,glass,-9.428021643,1.206806055,0.250938493,NA,1.76838215824479,1.36104027296468,26.9957599813587,4.18203637604871,wenas_summer
60,H4,NP,1,1,0,glass,-9.270755362,5.923196868,0.542874439,NA,8.67950207719386,2.94444254370376,58.4019927754119,20.5261024850209,wenas_summer
62,H6,C,0,0,0,glass,-1.674886766,0.328809814,0.010661405,NA,0.48181843811961,0.0578253316097942,1.14694532115508,1.13944953893176,wenas_summer
63,H7,C,0,0,0,glass,-0.877421464,0.200742454,0,NA,0.294156109496713,0,0,0.695648021790282,wenas_summer
66,I2,PSi,0,1,1,glass,-5.75082053,1.442599476,0.024193346,NA,2.11389988000324,0.131219877230111,2.60270058193887,4.99914916709695,wenas_summer
68,I4,PSi,0,1,1,glass,-5.796979807,1.773440168,0.013809149,NA,2.59869424652982,0.0748980664531606,1.48557707306714,6.14563646129695,wenas_summer
69,I5,NPSi,1,1,1,glass,-8.246436929,10.80709799,0.502262933,NA,15.8360816874748,2.72417384538275,54.0330398286134,37.4506547480845,wenas_summer
71,I7,NPSi,1,1,1,glass,-6.559944681,7.113000782,0.487700414,NA,10.4229703044289,2.64518965049953,52.4664158206818,24.6492200548222,wenas_summer
75,J3,NP,1,1,0,glass,-7.375990117,6.188205692,0.399671105,NA,9.06783032115435,2.16773625816465,42.9962940044611,21.4444576236533,wenas_summer
77,J5,NPSi,1,1,1,glass,-12.0116967,1.880815155,0.93414021,NA,2.75603519660697,5.06658994881939,100.49404775096,6.51773113189566,wenas_summer
80,J8,NSi,1,0,1,glass,-3.404613513,0.083944083,0.482746917,NA,0.123006690306521,2.61832287199772,51.9335226225053,0.290897785278391,wenas_summer
